product_id,product_type,timestamp,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_probability_pct,anomaly_score_pct,health_score,risk_tier
H29424,H,2026-01-01 00:11:00,298.4,308.9,1782.0,23.9,24.0,0.44103079421740166,44.50997340589994,62.2,WATCH
H29425,H,2026-01-01 00:12:00,298.6,309.1,1423.0,44.3,29.0,4.188259729559238,38.041112037015274,67.7,WATCH
H29432,H,2026-01-01 00:19:00,298.8,309.2,1306.0,54.5,50.0,0.01148146200679003,48.23177314383701,59.0,WATCH
H29434,H,2026-01-01 00:21:00,298.9,309.3,1375.0,42.7,58.0,0.016645459038820084,40.210508325002756,65.8,WATCH
H29441,H,2026-01-01 00:28:00,299.1,309.4,1811.0,24.6,77.0,0.515299591706684,25.472421262771146,78.3,NORMAL
H29452,H,2026-01-01 00:39:00,298.9,309.2,1379.0,50.7,106.0,0.15891226308205483,14.945169953292023,87.3,NORMAL
H29457,H,2026-01-01 00:44:00,298.8,309.2,1372.0,48.5,120.0,0.12806933142360563,17.607360860118703,85.0,NORMAL
H29462,H,2026-01-01 00:49:00,298.8,309.2,1425.0,53.9,135.0,1.119352584469362,40.04224838604172,66.0,WATCH
H29466,H,2026-01-01 00:53:00,298.8,309.0,1497.0,43.8,147.0,0.293271586569228,40.699080456044676,65.4,WATCH
H29481,H,2026-01-01 01:08:00,298.8,308.9,1466.0,44.1,184.0,0.4407455855143578,10.725053674088478,90.9,NORMAL
H29494,H,2026-01-01 01:21:00,298.8,308.8,1445.0,49.9,4.0,0.3301000358368919,16.444087951616424,86.0,NORMAL
H29500,H,2026-01-01 01:27:00,299.0,309.0,1436.0,43.9,20.0,1.1636316070098895,22.04293099021151,81.3,NORMAL
H29522,H,2026-01-01 01:49:00,298.9,308.8,1621.0,32.7,75.0,0.4477709886348506,13.561874993436096,88.5,NORMAL
H29525,H,2026-01-01 01:52:00,298.7,308.6,1499.0,43.5,84.0,0.2486401396942459,13.513218195348845,88.5,NORMAL
H29550,H,2026-01-01 02:17:00,298.7,308.5,1420.0,45.7,143.0,1.9733718624222092,6.704117909534274,94.3,NORMAL
H29552,H,2026-01-01 02:19:00,298.8,308.6,1449.0,49.4,150.0,0.5968448580385506,10.39646772193319,91.2,NORMAL
H29557,H,2026-01-01 02:24:00,298.6,308.4,1407.0,50.5,164.0,1.56267367306675,20.0450965864419,83.0,NORMAL
H29560,H,2026-01-01 02:27:00,298.5,308.4,1612.0,36.1,174.0,0.4918330713769024,12.362953057229687,89.5,NORMAL
H29569,H,2026-01-01 02:36:00,298.4,308.2,1987.0,19.8,198.0,0.574962179067752,66.06237643480837,43.8,WARNING
H29571,H,2026-01-01 02:38:00,298.4,308.2,1478.0,43.5,206.0,34.63636526841191,21.527258648949548,65.4,WATCH
H29580,H,2026-01-01 02:47:00,298.4,308.2,1612.0,32.6,10.0,0.3129519702764236,23.89368856604381,79.7,NORMAL
H29581,H,2026-01-01 02:48:00,298.4,308.3,1458.0,42.9,15.0,0.2598752094236721,15.57037983038216,86.8,NORMAL
H29595,H,2026-01-01 03:02:00,298.2,308.3,1824.0,24.2,49.0,0.3873150770471183,48.748315410640586,58.6,WATCH
H29606,H,2026-01-01 03:13:00,298.2,308.4,1398.0,51.8,76.0,2.0484784576968353,10.758050111132029,90.9,NORMAL
H29607,H,2026-01-01 03:14:00,298.2,308.4,1678.0,34.6,81.0,0.24150772722067038,4.998236223546821,95.8,NORMAL
H29610,H,2026-01-01 03:17:00,298.3,308.6,1432.0,49.5,91.0,0.7994108426363173,34.39245388201033,70.8,WATCH
H29626,H,2026-01-01 03:33:00,298.4,308.7,1344.0,52.9,130.0,0.1653215662237144,13.09186422781293,88.9,NORMAL
H29635,H,2026-01-01 03:42:00,298.4,308.5,1827.0,24.3,153.0,0.2246710540498628,19.410384683609376,83.5,NORMAL
H29680,H,2026-01-01 04:27:00,298.0,308.1,1440.0,43.7,37.0,0.3557367835533165,8.485152122155178,92.8,NORMAL
H29682,H,2026-01-01 04:29:00,297.9,308.0,1800.0,24.8,44.0,0.41326041349165604,35.20259061482945,70.1,WATCH
H29684,H,2026-01-01 04:31:00,298.0,308.0,1520.0,39.6,51.0,0.3337130646137416,11.604823838826418,90.1,NORMAL
H29691,H,2026-01-01 04:38:00,298.0,308.0,1479.0,50.7,70.0,0.46388092360650857,15.425880154576548,86.9,NORMAL
H29702,H,2026-01-01 04:49:00,298.2,308.4,1385.0,42.2,98.0,2.4662555114469185,34.07617461098335,71.0,WATCH
H29707,H,2026-01-01 04:54:00,298.1,308.5,1392.0,44.8,111.0,4.334258705819863,11.418542810499805,90.3,NORMAL
H29712,H,2026-01-01 04:59:00,297.9,308.5,2129.0,18.7,126.0,0.20779759880684137,64.36710522519417,45.3,WARNING
H29716,H,2026-01-01 05:03:00,297.8,308.4,1512.0,35.1,138.0,0.3752684390539507,8.338835332460702,92.9,NORMAL
H29724,H,2026-01-01 05:11:00,298.0,308.6,1526.0,41.8,160.0,0.34458305110530635,36.27450126258035,69.2,WATCH
H29734,H,2026-01-01 05:21:00,297.8,308.4,1550.0,38.2,185.0,1.5976009113611207,9.09064596507936,92.3,NORMAL
H29742,H,2026-01-01 05:29:00,297.6,308.4,1703.0,31.4,205.0,1.392163989934376,24.681560590352678,79.0,NORMAL
H29743,H,2026-01-01 05:30:00,297.7,308.5,1720.0,29.9,210.0,7.4661592088816855,42.079594325894554,64.2,WATCH
H29764,H,2026-01-01 05:51:00,297.6,308.3,1400.0,44.3,43.0,1.0561296150789652,42.68821652998691,63.7,WATCH
H29767,H,2026-01-01 05:54:00,297.5,308.3,1674.0,30.0,54.0,0.5445320392061773,29.814954193622846,74.7,WATCH
H29776,H,2026-01-01 06:03:00,297.6,308.3,1640.0,30.9,79.0,0.8988040588090311,37.766467964247035,67.9,WATCH
H29783,H,2026-01-01 06:10:00,297.5,308.4,1587.0,36.1,98.0,0.4373886852908239,13.999762314658224,88.1,NORMAL
H29812,H,2026-01-01 06:39:00,297.4,308.3,1502.0,43.6,169.0,0.5675493875199308,26.436082221367712,77.5,NORMAL
H29855,H,2026-01-01 07:22:00,297.5,308.5,1393.0,46.6,56.0,2.2371178279876847,12.520482077288674,89.4,NORMAL
H29857,H,2026-01-01 07:24:00,297.4,308.5,1469.0,45.1,63.0,0.3380501672685876,13.643961408175487,88.4,NORMAL
H29865,H,2026-01-01 07:32:00,297.5,308.6,1440.0,46.1,84.0,1.890215026501723,9.612399588712533,91.8,NORMAL
H29870,H,2026-01-01 07:37:00,297.3,308.7,1478.0,47.6,98.0,0.6289991341027189,12.841943999376781,89.1,NORMAL
H29874,H,2026-01-01 07:41:00,297.3,308.6,1431.0,42.0,109.0,0.397673725468955,31.7046678216591,73.1,WATCH
H29884,H,2026-01-01 07:51:00,297.3,308.8,1499.0,44.2,134.0,0.2790908427587073,45.95244502230537,60.9,WATCH
H29885,H,2026-01-01 07:52:00,297.3,308.8,1419.0,42.4,139.0,1.2332638546012642,51.99955463188617,55.8,WATCH
H29891,H,2026-01-01 07:58:00,297.4,309.0,1468.0,41.4,156.0,0.5276618442845966,61.254104743330295,47.9,WARNING
H29909,H,2026-01-01 08:16:00,297.5,309.3,1459.0,49.7,201.0,0.6809931715107022,48.18243165147156,59.0,WATCH
H29921,H,2026-01-01 08:28:00,297.8,309.4,1445.0,48.2,10.0,0.30549812629862344,35.10052004060748,70.2,WATCH
H29949,H,2026-01-01 08:56:00,297.4,309.3,1365.0,52.4,76.0,1.0441804808347535,34.954947570289036,70.3,WATCH
H29951,H,2026-01-01 08:58:00,297.4,309.3,1516.0,43.0,83.0,0.09141078303775545,11.565109188566765,90.2,NORMAL
H29957,H,2026-01-01 09:04:00,297.5,309.3,1563.0,36.1,100.0,0.18646494945958716,14.380181539786301,87.8,NORMAL
H29968,H,2026-01-01 09:15:00,297.5,309.4,1368.0,45.3,129.0,0.09695852016945986,18.931851016904634,83.9,NORMAL
H29978,H,2026-01-01 09:25:00,297.6,309.6,1669.0,32.1,155.0,0.29526819953290606,18.311670195080353,84.4,NORMAL
H29979,H,2026-01-01 09:26:00,297.7,309.7,1570.0,35.8,160.0,0.5527466481418798,30.378468451478508,74.2,WATCH
H29990,H,2026-01-01 09:37:00,297.7,309.7,1440.0,51.1,191.0,0.41850323695390207,48.27767955060424,59.0,WATCH
H29997,H,2026-01-01 09:44:00,297.7,309.6,1697.0,32.2,210.0,4.867605821535799,27.29875642645596,76.8,NORMAL
H29998,H,2026-01-01 09:45:00,297.6,309.6,1419.0,48.2,215.0,4.614380780357812,38.95483772029768,66.9,WATCH
H30001,H,2026-01-01 09:48:00,297.6,309.5,1623.0,33.1,224.0,6.810634602398586,37.609532491249595,68.0,WATCH
H30005,H,2026-01-01 09:52:00,297.5,309.3,1525.0,41.7,235.0,10.084096384465134,54.79713658524004,53.4,WATCH
H30006,H,2026-01-01 09:53:00,297.5,309.5,1668.0,27.9,240.0,25.71363884412699,45.576823280994596,61.3,WATCH
H30008,H,2026-01-01 09:55:00,297.6,309.6,1278.0,50.4,2.0,0.03284670281346451,48.327520192773775,58.9,WATCH
H30011,H,2026-01-01 09:58:00,297.6,309.6,1428.0,46.6,13.0,0.3613326401059482,27.31823425459018,76.8,NORMAL
H30013,H,2026-01-01 10:00:00,297.7,309.7,1616.0,31.1,20.0,0.08239187339682444,28.587806035085407,75.7,NORMAL
H30030,H,2026-01-01 10:17:00,298.1,309.9,1686.0,29.1,60.0,0.48572218332619116,29.739730762245852,74.7,WATCH
H30032,H,2026-01-01 10:19:00,298.2,310.0,1433.0,44.2,68.0,3.239704214057356,29.214530589233462,75.2,NORMAL
H30038,H,2026-01-01 10:25:00,298.3,310.1,1509.0,37.6,85.0,0.2171486637729577,11.897633712591675,89.9,NORMAL
H30046,H,2026-01-01 10:33:00,298.3,310.0,1419.0,47.1,105.0,0.5392087230626066,14.301074485887153,87.8,NORMAL
H30058,H,2026-01-01 10:45:00,297.7,309.4,1608.0,30.2,135.0,0.20915176253420106,53.92992680620073,54.2,WATCH
H30062,H,2026-01-01 10:49:00,297.7,309.3,1400.0,48.9,147.0,0.4950051196063533,44.10581568281475,62.5,WATCH
H30083,H,2026-01-01 11:10:00,297.5,308.9,1471.0,37.7,197.0,2.097419216245023,8.690348901620165,92.6,NORMAL
H30090,H,2026-01-01 11:17:00,297.9,309.2,1577.0,34.7,5.0,0.7663787568185964,28.84078191547327,75.5,NORMAL
H30096,H,2026-01-01 11:23:00,297.8,309.0,1410.0,48.8,23.0,0.48647613101480647,16.27740946330343,86.2,NORMAL
H30102,H,2026-01-01 11:29:00,297.6,309.0,1735.0,26.4,41.0,0.415401647944861,21.466294093673117,81.8,NORMAL
H30103,H,2026-01-01 11:30:00,297.6,309.0,1354.0,55.6,46.0,1.3641191363143599,14.807135429271986,87.4,NORMAL
H30104,H,2026-01-01 11:31:00,297.6,309.0,1413.0,40.2,51.0,0.503508570048161,4.373886921071016,96.3,NORMAL
H30113,H,2026-01-01 11:40:00,297.5,308.7,1416.0,39.2,74.0,0.1698551860451402,25.577482087965574,78.3,NORMAL
H30117,H,2026-01-01 11:44:00,297.7,308.9,1479.0,40.9,87.0,0.23277485570321224,9.370225110103469,92.0,NORMAL
H30130,H,2026-01-01 11:57:00,297.4,308.6,1420.0,45.8,120.0,1.6141689101459882,4.855694296643529,95.9,NORMAL
H30141,H,2026-01-01 12:08:00,297.3,308.6,1499.0,37.6,147.0,0.2841719748859365,14.68268484814914,87.5,NORMAL
H30148,H,2026-01-01 12:15:00,297.0,308.4,1305.0,54.6,168.0,0.19119169797478275,44.02064792259059,62.6,WATCH
H30151,H,2026-01-01 12:18:00,296.9,308.3,1474.0,39.2,177.0,0.16203653276960592,33.887530816107294,71.2,WATCH
H30162,H,2026-01-01 12:29:00,296.7,308.1,1528.0,46.3,203.0,2.2838753833530308,61.16716089473957,48.0,WARNING
H30169,H,2026-01-01 12:36:00,296.8,308.1,1492.0,43.7,222.0,4.182004053747569,36.49030177678864,69.0,WATCH
H30185,H,2026-01-01 12:52:00,296.8,308.0,1311.0,58.6,19.0,0.37678617422112176,68.77656754188126,41.5,WARNING
H30186,H,2026-01-01 12:53:00,296.8,308.0,1453.0,51.0,24.0,0.32572808713955714,49.29755226872562,58.1,WATCH
H30197,H,2026-01-01 13:04:00,296.7,307.9,1579.0,33.4,50.0,0.14064983207998316,25.060019383962327,78.7,NORMAL
H30208,H,2026-01-01 13:15:00,296.9,307.9,1547.0,32.6,79.0,0.354005189799374,19.160873647733716,83.7,NORMAL
H30217,H,2026-01-01 13:24:00,296.9,307.8,1549.0,37.8,104.0,0.5159852647516519,37.93939997984124,67.8,WATCH
H30248,H,2026-01-01 13:55:00,296.6,307.4,1333.0,50.2,177.0,0.5054491829054983,68.07118597333084,42.1,WARNING
H30252,H,2026-01-01 13:59:00,296.6,307.4,1406.0,41.5,189.0,4.267891270288445,50.12450579992718,57.4,WATCH
H30263,H,2026-01-01 14:10:00,296.4,307.4,1586.0,35.5,0.0,0.28426890967702645,59.75196456551832,49.2,WARNING
H30273,H,2026-01-01 14:20:00,296.2,307.0,1542.0,40.6,28.0,0.14411114941116182,66.8641121783956,43.2,WARNING
H30274,H,2026-01-01 14:21:00,296.1,306.9,1541.0,32.6,33.0,0.2141828494616496,79.84081979816072,32.1,WARNING
