product_id,product_type,timestamp,health_score,failure_probability_pct,anomaly_score_pct,risk_tier,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min
H29424,H,2026-01-01 00:11:00,62.2,0.44103079421740166,44.50997340589994,WATCH,298.4,308.9,1782.0,23.9,24.0
H29425,H,2026-01-01 00:12:00,67.7,4.188259729559238,38.041112037015274,WATCH,298.6,309.1,1423.0,44.3,29.0
H29432,H,2026-01-01 00:19:00,59.0,0.01148146200679003,48.23177314383701,WATCH,298.8,309.2,1306.0,54.5,50.0
H29434,H,2026-01-01 00:21:00,65.8,0.016645459038820084,40.210508325002756,WATCH,298.9,309.3,1375.0,42.7,58.0
H29441,H,2026-01-01 00:28:00,78.3,0.515299591706684,25.472421262771146,NORMAL,299.1,309.4,1811.0,24.6,77.0
H29452,H,2026-01-01 00:39:00,87.3,0.15891226308205483,14.945169953292023,NORMAL,298.9,309.2,1379.0,50.7,106.0
H29457,H,2026-01-01 00:44:00,85.0,0.12806933142360563,17.607360860118703,NORMAL,298.8,309.2,1372.0,48.5,120.0
H29462,H,2026-01-01 00:49:00,66.0,1.119352584469362,40.04224838604172,WATCH,298.8,309.2,1425.0,53.9,135.0
H29466,H,2026-01-01 00:53:00,65.4,0.293271586569228,40.699080456044676,WATCH,298.8,309.0,1497.0,43.8,147.0
H29481,H,2026-01-01 01:08:00,90.9,0.4407455855143578,10.725053674088478,NORMAL,298.8,308.9,1466.0,44.1,184.0
H29494,H,2026-01-01 01:21:00,86.0,0.3301000358368919,16.444087951616424,NORMAL,298.8,308.8,1445.0,49.9,4.0
H29500,H,2026-01-01 01:27:00,81.3,1.1636316070098895,22.04293099021151,NORMAL,299.0,309.0,1436.0,43.9,20.0
H29522,H,2026-01-01 01:49:00,88.5,0.4477709886348506,13.561874993436096,NORMAL,298.9,308.8,1621.0,32.7,75.0
H29525,H,2026-01-01 01:52:00,88.5,0.2486401396942459,13.513218195348845,NORMAL,298.7,308.6,1499.0,43.5,84.0
H29550,H,2026-01-01 02:17:00,94.3,1.9733718624222092,6.704117909534274,NORMAL,298.7,308.5,1420.0,45.7,143.0
H29552,H,2026-01-01 02:19:00,91.2,0.5968448580385506,10.39646772193319,NORMAL,298.8,308.6,1449.0,49.4,150.0
H29557,H,2026-01-01 02:24:00,83.0,1.56267367306675,20.0450965864419,NORMAL,298.6,308.4,1407.0,50.5,164.0
H29560,H,2026-01-01 02:27:00,89.5,0.4918330713769024,12.362953057229687,NORMAL,298.5,308.4,1612.0,36.1,174.0
H29569,H,2026-01-01 02:36:00,43.8,0.574962179067752,66.06237643480837,WARNING,298.4,308.2,1987.0,19.8,198.0
