udi,timestamp,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,temp_diff_k,power_watts,strain_index,failure_probability_pct,anomaly_score_pct,health_score,risk_tier,machine_failure
1,2026-01-01 00:01:00,M14860,M,298.1,308.6,1551.0,42.8,0.0,10.5,6951.590560157351,0.0,1.858460350891612,54.76963194942377,53.4,WATCH,0
2,2026-01-01 00:02:00,L47181,L,298.2,308.7,1408.0,46.3,3.0,10.5,6826.722724152667,138.89999999999998,6.46808974662935,45.16380763640572,61.6,WATCH,0
3,2026-01-01 00:03:00,L47182,L,298.1,308.5,1498.0,49.4,5.0,10.399999999999977,7749.387542560967,247.0,1.1942306418919815,62.878242626006994,46.6,WARNING,0
4,2026-01-01 00:04:00,L47183,L,298.2,308.6,1433.0,39.5,7.0,10.400000000000034,5927.504658915661,276.5,6.523883850989357,51.791523060202074,56.0,WATCH,0
5,2026-01-01 00:05:00,L47184,L,298.2,308.7,1408.0,40.0,9.0,10.5,5897.816608339237,360.0,2.790086360987411,55.82199029044528,52.6,WATCH,0
6,2026-01-01 00:06:00,M14865,M,298.1,308.6,1425.0,41.9,11.0,10.5,6252.554778807084,460.9,3.4758751762500184,54.99149163743468,53.3,WATCH,0
7,2026-01-01 00:07:00,L47186,L,298.1,308.6,1558.0,42.4,14.0,10.5,6917.703247400629,593.6,0.45356397734338993,52.214973191922574,55.6,WATCH,0
8,2026-01-01 00:08:00,L47187,L,298.1,308.6,1527.0,40.2,16.0,10.5,6428.264055922363,643.2,0.7162292603869657,50.15057243714223,57.4,WATCH,0
9,2026-01-01 00:09:00,M14868,M,298.3,308.7,1667.0,28.6,18.0,10.399999999999977,4992.639989035923,514.8000000000001,1.3639000551920804,39.61571282380412,66.3,WATCH,0
10,2026-01-01 00:10:00,M14869,M,298.5,309.0,1741.0,28.0,21.0,10.5,5104.878622573175,588.0,0.6758831574894155,40.51726865034706,65.6,WATCH,0
11,2026-01-01 00:11:00,H29424,H,298.4,308.9,1782.0,23.9,24.0,10.5,4459.993426595285,573.5999999999999,0.44103079421740166,44.50997340589994,62.2,WATCH,0
12,2026-01-01 00:12:00,H29425,H,298.6,309.1,1423.0,44.3,29.0,10.5,6601.41817101272,1284.6999999999998,4.188259729559238,38.041112037015274,67.7,WATCH,0
13,2026-01-01 00:13:00,M14872,M,298.6,309.1,1339.0,51.1,34.0,10.5,7165.22933257697,1737.4,0.02110808467137477,45.30172871199132,61.5,WATCH,0
