udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,timestamp,temp_diff_k,power_watts,strain_index,rolling_mean_process_temp_15,rolling_std_process_temp_15,rolling_mean_speed_15,rolling_std_speed_15,rolling_mean_torque_15,rolling_std_torque_15,torque_slope_5,temp_slope_5,anomaly_score_pct,is_anomaly,failure_probability_pct,predicted_failure,health_score,risk_tier
1,M14860,M,298.1,308.6,1551.0,42.8,0.0,0,0,0,0,0,0,2026-01-01 00:01:00,10.5,6951.590560157351,0.0,308.6,0.0,1551.0,0.0,42.8,0.0,0.0,0.0,54.76963194942377,0,1.858460350891612,0,53.4,WATCH
2,L47181,L,298.2,308.7,1408.0,46.3,3.0,0,0,0,0,0,0,2026-01-01 00:02:00,10.5,6826.722724152667,138.89999999999998,308.65,0.07071067811865074,1479.5,101.1162697096763,44.55,2.4748737341529163,0.0,0.0,45.16380763640572,0,6.46808974662935,0,61.6,WATCH
3,L47182,L,298.1,308.5,1498.0,49.4,5.0,0,0,0,0,0,0,2026-01-01 00:03:00,10.399999999999977,7749.387542560967,247.0,308.59999999999997,0.0999999999999801,1485.6666666666667,72.29338374521788,46.166666666666664,3.302019584032375,0.0,0.0,62.878242626006994,0,1.1942306418919815,0,46.6,WARNING
4,L47183,L,298.2,308.6,1433.0,39.5,7.0,0,0,0,0,0,0,2026-01-01 00:04:00,10.400000000000034,5927.504658915661,276.5,308.6,0.08164965809275636,1472.5,64.63487190879755,44.5,4.287190222045203,0.0,0.0,51.791523060202074,0,6.523883850989357,0,56.0,WATCH
5,L47184,L,298.2,308.7,1408.0,40.0,9.0,0,0,0,0,0,0,2026-01-01 00:05:00,10.5,5897.816608339237,360.0,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,0.0,0.0,55.82199029044528,0,2.790086360987411,0,52.6,WATCH
6,M14865,M,298.1,308.6,1425.0,41.9,11.0,0,0,0,0,0,0,2026-01-01 00:06:00,10.5,6252.554778807084,460.9,308.6166666666667,0.07527726527090181,1453.8333333333333,58.06691542235273,43.31666666666666,3.8405294773854646,-0.17999999999999972,0.0,54.99149163743468,0,3.4758751762500184,0,53.3,WATCH
7,L47186,L,298.1,308.6,1558.0,42.4,14.0,0,0,0,0,0,0,2026-01-01 00:07:00,10.5,6917.703247400629,593.6,308.61428571428576,0.0690065559342277,1468.7142857142858,66.02957490325653,43.18571428571429,3.5229857466967665,-0.7799999999999997,-0.01999999999999318,52.214973191922574,0,0.45356397734338993,0,55.6,WATCH
8,L47187,L,298.1,308.6,1527.0,40.2,16.0,0,0,0,0,0,0,2026-01-01 00:08:00,10.5,6428.264055922363,643.2,308.6125,0.06408699444615774,1476.0,64.51135005341534,42.8125,3.42821798773482,-1.8399999999999992,0.02000000000000455,50.15057243714223,0,0.7162292603869657,0,57.4,WATCH
9,M14868,M,298.3,308.7,1667.0,28.6,18.0,0,0,0,0,0,0,2026-01-01 00:09:00,10.399999999999977,4992.639989035923,514.8000000000001,308.6222222222222,0.06666666666665884,1497.2222222222222,87.720832442724,41.233333333333334,5.720795399243013,-2.1799999999999997,0.01999999999999318,39.61571282380412,0,1.3639000551920804,0,66.3,WATCH
10,M14869,M,298.5,309.0,1741.0,28.0,21.0,0,0,0,0,0,0,2026-01-01 00:10:00,10.5,5104.878622573175,588.0,308.65999999999997,0.1349897115421144,1521.6,113.06065235576496,39.910000000000004,6.826655273427996,-2.4,0.060000000000002274,40.51726865034706,0,0.6758831574894155,0,65.6,WATCH
11,H29424,H,298.4,308.9,1782.0,23.9,24.0,0,0,0,0,0,0,2026-01-01 00:11:00,10.5,4459.993426595285,573.5999999999999,308.6818181818182,0.1470930441467762,1545.2727272727273,132.92410684980442,38.45454545454545,8.077420830483414,-3.6,0.05999999999999091,44.50997340589994,0,0.44103079421740166,0,62.2,WATCH
12,H29425,H,298.6,309.1,1423.0,44.3,29.0,0,0,0,0,0,0,2026-01-01 00:12:00,10.5,6601.41817101272,1284.6999999999998,308.71666666666664,0.18504708655482896,1535.0833333333333,131.56157102169692,38.94166666666667,7.884214186165505,0.3799999999999997,0.1,38.041112037015274,0,4.188259729559238,0,67.7,WATCH
13,M14872,M,298.6,309.1,1339.0,51.1,34.0,0,0,0,0,0,0,2026-01-01 00:13:00,10.5,7165.22933257697,1737.4,308.74615384615385,0.20662116951637724,1520.0,137.19936831730197,39.87692307692308,8.267522184846142,2.1799999999999997,0.1,45.30172871199132,0,0.02110808467137477,0,61.5,WATCH
14,M14873,M,298.6,309.2,1742.0,30.0,37.0,0,0,0,0,0,0,2026-01-01 00:14:00,10.599999999999966,5472.6544025534195,1110.0,308.7785714285714,0.232638945838581,1535.857142857143,144.5544119768679,39.17142857142857,8.370316469656201,0.2799999999999997,0.1,53.9959856968513,0,1.3843917568940693,0,54.1,WATCH
15,L47194,L,298.6,309.2,2035.0,19.6,40.0,0,0,0,0,0,0,2026-01-01 00:15:00,10.599999999999966,4176.85215270275,784.0,308.8066666666667,0.24918916127160182,1569.1333333333334,189.77086434007984,37.86666666666667,9.518078037283031,-1.6799999999999997,0.039999999999997725,76.10687168933417,0,0.25425517282461585,0,35.3,WARNING
16,L47195,L,298.6,309.2,1542.0,48.4,42.0,0,0,0,0,0,0,2026-01-01 00:16:00,10.599999999999966,7815.528539894543,2032.8,308.84666666666664,0.2614975188810788,1568.5333333333333,189.84650441368487,38.24,9.830114081593505,4.9,0.060000000000002274,59.758574635136256,0,1.5299830455606207,0,49.2,WARNING
17,M14876,M,298.6,309.2,1311.0,46.6,44.0,0,0,0,0,0,0,2026-01-01 00:17:00,10.599999999999966,6397.602111623327,2050.4,308.88,0.273077696949855,1562.0666666666666,197.21433831771785,38.26,9.847972960389946,0.46000000000000085,0.01999999999999318,46.01132904619486,0,0.008868744532032657,0,60.9,WATCH
18,M14877,M,298.7,309.2,1410.0,45.6,47.0,0,0,0,0,0,0,2026-01-01 00:18:00,10.5,6733.0613751736455,2143.2000000000003,308.9266666666666,0.263131326979711,1556.2,200.53720709277732,38.00666666666667,9.586334519711357,-1.1,0.01999999999999318,39.04265277885577,0,4.328887351670064,0,66.8,WATCH
19,H29432,H,298.8,309.2,1306.0,54.5,50.0,0,0,0,0,0,0,2026-01-01 00:19:00,10.399999999999977,7453.6380101520235,2725.0,308.96666666666664,0.25541749203628356,1547.7333333333333,208.62798972150915,39.00666666666667,10.492750331719972,4.9,0.0,48.23177314383701,0,0.01148146200679003,0,59.0,WATCH
20,M14879,M,298.9,309.3,1632.0,32.5,55.0,0,0,0,0,0,0,2026-01-01 00:20:00,10.400000000000034,5554.3358115467545,1787.5,309.0066666666666,0.2576450123347308,1562.6666666666667,205.9107527431196,38.50666666666667,10.619958748014225,2.5799999999999996,0.02000000000000455,47.753511689226904,0,0.4770342361808298,0,59.4,WATCH
