udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_watts,strain_index,rolling_mean_process_temp_15,rolling_std_process_temp_15,rolling_mean_speed_15,rolling_std_speed_15,rolling_mean_torque_15,rolling_std_torque_15,torque_slope_5,temp_slope_5
1,L47181,L,298.2,308.2,1510.0,39.0,35.0,0,0,0,0,0,0,10.0,6166.946378996763,1365.0,308.2,0.0,1510.0,0.0,39.0,0.0,0.0,0.0
2,L47181,L,298.4947368421052,308.38947368421054,1500.7894736842106,39.23684210526316,36.05263157894737,0,0,0,0,0,0,9.894736842105317,6166.552592105974,1414.5914127423823,308.2947368421053,0.13397812696166142,1505.3947368421054,6.512825616191889,39.118421052631575,0.16747265870207928,0.0,0.0
3,L47181,L,298.7894736842105,308.57894736842104,1491.578947368421,39.473684210526315,37.10526315789474,0,0,0,0,0,0,9.78947368421052,6165.701925397142,1464.6814404432134,308.38947368421054,0.1894736842105047,1500.7894736842106,9.210526315789565,39.23684210526316,0.2368421052631593,0.0,0.0
4,L47181,L,299.08421052631576,308.7684210526316,1482.3684210526317,39.71052631578947,38.1578947368421,0,0,0,0,0,0,9.684210526315837,6164.394378870267,1515.270083102493,308.4842105263158,0.2446094744973028,1496.1842105263158,11.890738343619299,39.35526315789474,0.3057618431216377,0.0,0.0
5,L47181,L,299.37894736842105,308.9578947368421,1473.157894736842,39.94736842105263,39.21052631578947,0,0,0,0,0,0,9.57894736842104,6162.629952525349,1566.3573407202216,308.57894736842104,0.2995841993843656,1491.578947368421,14.563120803407047,39.473684210526315,0.3744802492304648,0.0,0.0
6,L47181,L,299.6736842105263,309.14736842105265,1463.9473684210527,40.18421052631579,40.26315789473684,0,0,0,0,0,0,9.473684210526358,6160.408646362389,1617.9432132963989,308.67368421052635,0.35447280506279993,1486.9736842105265,17.231316912774716,39.5921052631579,0.4430910063284925,0.23684210526315752,0.1894736842105317
7,L47181,L,299.9684210526316,309.33684210526314,1454.7368421052631,40.421052631578945,41.31578947368421,0,0,0,0,0,0,9.368421052631561,6157.730460381385,1670.027700831025,308.7684210526316,0.4093099388468215,1482.3684210526317,19.897010916164454,39.71052631578947,0.511637423558515,0.23684210526315752,0.18947368421052033
8,L47181,L,300.2631578947368,309.5263157894737,1445.5263157894738,40.6578947368421,42.368421052631575,0,0,0,0,0,0,9.263157894736878,6154.5953945823385,1722.6108033240994,308.86315789473684,0.46411384600104405,1477.7631578947369,22.56108973616078,39.828947368421055,0.5801423075012782,0.23684210526315752,0.1894736842105317
9,L47181,L,300.5578947368421,309.7157894736842,1436.3157894736842,40.89473684210526,43.421052631578945,0,0,0,0,0,0,9.157894736842081,6151.003448965249,1775.692520775623,308.9578947368421,0.5188950544786042,1473.1578947368423,25.22406514826414,39.94736842105263,0.6486188180982216,0.23684210526315752,0.18947368421052033
10,L47181,L,300.85263157894735,309.90526315789475,1427.1052631578948,41.13157894736842,44.473684210526315,0,0,0,0,0,0,9.052631578947398,6146.954623530118,1829.2728531855953,309.0526315789474,0.573660067092193,1468.5526315789473,27.886253261424134,40.065789473684205,0.7170750838651944,0.23684210526315752,0.1894736842105317
11,L47181,L,301.14736842105265,310.09473684210525,1417.8947368421052,41.368421052631575,45.526315789473685,0,0,0,0,0,0,8.947368421052602,6142.448918276942,1883.3518005540166,309.14736842105265,0.6284131181726443,1463.9473684210527,30.547859911168,40.18421052631579,0.7855163977157517,0.23684210526315752,0.18947368421052033
12,L47181,L,301.4421052631579,310.2842105263158,1408.6842105263158,41.60526315789474,46.578947368421055,0,0,0,0,0,0,8.842105263157919,6137.486333205726,1937.9293628808866,309.2421052631579,0.683157083772177,1459.3421052631577,33.20902490558918,40.30263157894736,0.8539463547151551,0.23684210526315894,0.1894736842105317
13,L47181,L,301.7368421052632,310.4736842105263,1399.4736842105262,41.8421052631579,47.631578947368425,0,0,0,0,0,0,8.736842105263122,6132.066868316465,1993.0055401662053,309.33684210526314,0.7378939860346644,1454.7368421052631,35.869846543348665,40.421052631578945,0.9223674825432567,0.23684210526315894,0.18947368421052033
14,L47181,L,302.0315789473684,310.66315789473686,1390.2631578947369,42.078947368421055,48.68421052631579,0,0,0,0,0,0,8.631578947368439,6126.190523609161,2048.5803324099725,309.43157894736845,0.7926252882955088,1450.1315789473683,38.530395958805855,40.53947368421053,0.9907816103692992,0.23684210526315894,0.1894736842105317
15,L47181,L,302.3263157894737,310.85263157894735,1381.0526315789473,42.31578947368421,49.73684210526316,0,0,0,0,0,0,8.526315789473642,6119.857299083814,2104.6537396121885,309.52631578947364,0.847352075684206,1445.5263157894738,41.19072590131164,40.6578947368421,1.0591900946051624,0.23684210526315894,0.18947368421052033
16,L47181,L,302.62105263157895,311.0421052631579,1371.842105263158,42.55263157894737,50.78947368421053,1,0,1,0,0,0,8.42105263157896,6113.067194740427,2161.2257617728533,309.7157894736842,0.8473520756842455,1436.3157894736842,41.19072590131148,40.89473684210527,1.0591900946051611,0.23684210526315894,0.1894736842105317
17,L47181,L,302.91578947368424,311.2315789473684,1362.6315789473683,42.78947368421053,51.84210526315789,1,0,1,0,0,0,8.315789473684163,6105.820210578994,2218.2963988919664,309.9052631578948,0.8473520756842916,1427.1052631578946,41.190725901311296,41.131578947368425,1.05919009460516,0.23684210526315752,0.18947368421052033
18,L47181,L,303.2105263157895,311.42105263157896,1353.421052631579,43.026315789473685,52.89473684210526,1,0,1,0,0,0,8.21052631578948,6098.1163465995205,2275.865650969529,310.0947368421052,0.8473520756843409,1417.8947368421054,41.1907259013111,41.368421052631575,1.0591900946051587,0.23684210526315752,0.1894736842105317
19,L47181,L,303.5052631578948,311.61052631578946,1344.2105263157894,43.26315789473684,53.94736842105263,1,0,1,0,0,0,8.105263157894683,6089.955602802002,2333.93351800554,310.2842105263158,0.847352075684387,1408.6842105263158,41.19072590131092,41.60526315789473,1.0591900946051576,0.23684210526315752,0.18947368421052033
20,L47181,L,303.8,311.8,1335.0,43.5,55.0,1,0,1,0,0,0,8.0,6081.337979186443,2392.5,310.47368421052636,0.8473520756844363,1399.4736842105262,41.19072590131072,41.8421052631579,1.0591900946051565,0.23684210526315752,0.1894736842105317
