udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_watts,strain_index,rolling_mean_process_temp_15,rolling_std_process_temp_15,rolling_mean_speed_15,rolling_std_speed_15,rolling_mean_torque_15,rolling_std_torque_15,torque_slope_5,temp_slope_5
1,M14860,M,298.1,308.3,1505.0,39.5,25.0,0,0,0,0,0,0,10.199999999999989,6225.327642475974,987.5,308.3,0.0,1505.0,0.0,39.5,0.0,0.0,0.0
2,M14860,M,298.12105263157895,308.32105263157894,1504.4736842105262,39.55263157894737,26.05263157894737,0,0,0,0,0,0,10.199999999999989,6231.442579977144,1030.4501385041551,308.3105263157895,0.014886458551259986,1504.7368421052631,0.3721614637824442,39.526315789473685,0.0372161463782404,0.0,0.0
3,M14860,M,298.14210526315793,308.3421052631579,1503.9473684210527,39.60526315789474,27.105263157894736,0,0,0,0,0,0,10.199999999999989,6237.551715829832,1073.51108033241,308.321052631579,0.02105263157892523,1504.4736842105265,0.5263157894736139,39.55263157894737,0.05263157894736992,0.0,0.0
4,M14860,M,298.16315789473686,308.36315789473684,1503.421052631579,39.6578947368421,28.157894736842106,0,0,0,0,0,0,10.199999999999989,6243.655050034035,1116.6828254847644,308.3315789473684,0.02717883049966525,1504.2105263157896,0.6794707624924459,39.578947368421055,0.06794707624925166,0.0,0.0
5,M14860,M,298.1842105263158,308.38421052631577,1502.8947368421052,39.71052631578947,29.210526315789473,0,0,0,0,0,0,10.199999999999989,6249.7525825897565,1159.9653739612188,308.3421052631579,0.03328713326488632,1503.9473684210527,0.8321783316231826,39.60526315789474,0.08321783316232365,0.0,0.0
6,M14860,M,298.20526315789476,308.40526315789475,1502.3684210526317,39.76315789473684,30.263157894736842,0,0,0,0,0,0,10.199999999999989,6255.844313496995,1203.3587257617728,308.3526315789474,0.03938586722916404,1503.6842105263158,0.9846466807298576,39.63157894736842,0.09846466807299613,0.052631578947368494,0.021052631578947968
7,M14860,M,298.2263157894737,308.4263157894737,1501.842105263158,39.81578947368421,31.315789473684212,0,0,0,0,0,0,10.199999999999989,6261.9302427557495,1246.8628808864266,308.36315789473684,0.0454788820940501,1503.421052631579,1.1369720523521087,39.6578947368421,0.11369720523522336,0.052631578947368494,0.021052631578947968
8,M14860,M,298.24736842105267,308.44736842105266,1501.3157894736842,39.86842105263158,32.368421052631575,0,0,0,0,0,0,10.199999999999989,6268.010370366021,1290.47783933518,308.37368421052633,0.05156820511118549,1503.157894736842,1.2892051277804677,39.68421052631579,0.12892051277805996,0.052631578947368494,0.021052631578947968
9,M14860,M,298.2684210526316,308.4684210526316,1500.7894736842106,39.921052631578945,33.421052631578945,0,0,0,0,0,0,10.199999999999989,6274.084696327809,1334.2036011080331,308.3842105263158,0.057655006053129024,1502.8947368421052,1.441375151329192,39.71052631578947,0.14413751513293532,0.052631578947368494,0.021052631578947968
10,M14860,M,298.2894736842105,308.4894736842105,1500.2631578947369,39.973684210526315,34.473684210526315,0,0,0,0,0,0,10.199999999999989,6280.153220641114,1378.040166204986,308.39473684210526,0.06374000745463108,1502.6315789473686,1.5935001863668865,39.73684210526316,0.15935001863670634,0.052631578947368494,0.021052631578947968
