udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_watts,strain_index,rolling_mean_process_temp_15,rolling_std_process_temp_15,rolling_mean_speed_15,rolling_std_speed_15,rolling_mean_torque_15,rolling_std_torque_15,torque_slope_5,temp_slope_5
1,L47205,L,298.1,308.2,1460.0,40.0,170.0,0,0,0,0,0,0,10.099999999999966,6115.633698988131,6800.0,308.2,0.0,1460.0,0.0,40.0,0.0,0.0,0.0
2,L47205,L,298.14210526315793,308.2736842105263,1455.2631578947369,40.77777777777778,172.3684210526316,0,0,0,0,0,0,10.131578947368382,6214.321351254407,7028.801169590643,308.2368421052631,0.05210260492956068,1457.6315789473683,3.349453174041435,40.388888888888886,0.5499719409228734,0.0,0.0
3,L47205,L,298.1842105263158,308.34736842105264,1450.5263157894738,41.55555555555556,174.73684210526315,0,0,0,0,0,0,10.163157894736855,6312.237384272434,7261.286549707603,308.2736842105263,0.07368421052633778,1455.2631578947369,4.736842105263065,40.77777777777778,0.7777777777777803,0.0,0.0
4,L47205,L,298.2263157894737,308.42105263157896,1445.7894736842106,42.333333333333336,177.10526315789474,0,0,0,0,0,0,10.194736842105272,6409.381798042208,7497.456140350878,308.3105263157895,0.09512590674896414,1452.8947368421054,6.115236862432718,41.16666666666667,1.0041067934611831,0.0,0.0
5,L47205,L,298.2684210526316,308.4947368421053,1441.0526315789473,43.111111111111114,179.4736842105263,0,0,0,0,0,0,10.226315789473688,6505.754592563734,7737.309941520468,308.34736842105264,0.11650496642726388,1450.5263157894738,7.489604984609361,41.55555555555556,1.2297746456210372,0.0,0.0
6,L47205,L,298.3105263157895,308.56842105263155,1436.3157894736842,43.888888888888886,181.8421052631579,0,0,0,0,0,0,10.257894736842047,6601.355767837008,7980.847953216374,308.3842105263158,0.1378505353021972,1448.1578947368423,8.861820126569908,41.94444444444445,1.4550889837454213,0.7777777777777771,0.0736842105263122
7,L47205,L,298.35263157894735,308.6421052631579,1431.578947368421,44.666666666666664,184.21052631578948,0,0,0,0,0,0,10.28947368421052,6696.185323862034,8228.070175438595,308.4210526315789,0.15917608732931843,1445.7894736842104,10.232748471170325,42.33333333333333,1.6801920329205564,0.7777777777777771,0.0736842105263122
8,L47205,L,298.39473684210526,308.7157894736842,1426.842105263158,45.44444444444444,186.57894736842104,0,0,0,0,0,0,10.321052631578937,6790.243260638808,8478.976608187133,308.4578947368421,0.1804887178892984,1443.421052631579,11.602846150025552,42.72222222222222,1.9051586888313619,0.7777777777777771,0.0736842105263122
9,L47205,L,298.43684210526317,308.7894736842105,1422.1052631578948,46.22222222222222,188.94736842105263,0,0,0,0,0,0,10.352631578947353,6883.529578167335,8733.567251461987,308.4947368421052,0.2017925211861319,1441.0526315789475,12.972376361964399,43.111111111111114,2.130032168075648,0.7777777777777771,0.0736842105263122
10,L47205,L,298.4789473684211,308.86315789473684,1417.3684210526317,47.0,191.31578947368422,0,0,0,0,0,0,10.38421052631577,6976.044276447609,8991.842105263158,308.5315789473684,0.22309002609141246,1438.6842105263158,14.341501677303839,43.5,2.354839164298051,0.7777777777777771,0.0736842105263122
11,L47205,L,298.5210526315789,308.93684210526317,1412.6315789473683,52.0,193.68421052631578,0,0,0,0,0,0,10.415789473684242,7692.382517126671,10071.57894736842,308.56842105263155,0.2443828792893646,1436.3157894736842,15.71032795431501,44.27272727272727,3.39984154909057,1.622222222222223,0.07368421052632357
12,L47205,L,298.56315789473683,309.0105263157895,1407.8947368421052,53.55555555555556,196.05263157894737,0,0,0,0,0,0,10.447368421052659,7895.930775645223,10499.707602339182,308.60526315789474,0.2656721992447398,1433.9473684210527,17.078927094303065,45.0462962962963,4.205831645216998,1.7777777777777786,0.07368421052632357
13,L47205,L,298.60526315789474,309.0842105263158,1403.157894736842,55.111111111111114,198.42105263157896,0,0,0,0,0,0,10.478947368421075,8097.935795667277,10935.204678362574,308.6421052631579,0.28695877234682043,1431.578947368421,18.447349650865085,45.82051282051282,4.8997225212310305,1.9333333333333342,0.07368421052632357
14,L47205,L,298.64736842105265,309.15789473684214,1398.421052631579,56.666666666666664,200.78947368421052,0,0,0,0,0,0,10.510526315789491,8298.397577192829,11378.070175438595,308.67894736842106,0.3082431676704788,1429.2105263157896,19.815632207385914,46.595238095238095,5.528413551525403,2.0888888888888886,0.07368421052632357
15,L47205,L,298.6894736842105,309.23157894736846,1393.6842105263158,58.22222222222222,203.1578947368421,1,0,0,0,1,0,10.542105263157964,8497.316120221882,11828.30409356725,308.7157894736842,0.32952580721052627,1426.842105263158,21.18380189210316,47.37037037037037,6.114957904228608,2.2444444444444445,0.07368421052632357
16,L47205,L,298.7315789473684,309.30526315789473,1388.9473684210527,59.77777777777778,205.5263157894737,1,0,0,0,1,0,10.573684210526324,8694.691424754432,12285.90643274854,308.7894736842106,0.3295258072105328,1422.1052631578946,21.183801892103094,48.68888888888889,6.5303794207678845,1.5555555555555558,0.0736842105263122
17,L47205,L,298.7736842105263,309.37894736842105,1384.2105263157896,61.333333333333336,207.89473684210526,1,0,0,0,1,0,10.60526315789474,8890.523490790483,12750.877192982456,308.86315789473684,0.3295258072105492,1417.3684210526314,21.18380189210303,50.05925925925926,6.89808227659327,1.5555555555555558,0.0736842105263122
18,L47205,L,298.8157894736842,309.4526315789474,1379.4736842105262,62.888888888888886,210.26315789473682,1,0,0,0,1,0,10.636842105263156,9084.812318330034,13223.216374269005,308.93684210526317,0.3295258072105655,1412.6315789473686,21.183801892102977,51.48148148148148,7.211673207562506,1.5555555555555542,0.0736842105263122
19,L47205,L,298.85789473684207,309.5263157894737,1374.7368421052631,64.44444444444444,212.6315789473684,1,0,0,0,1,0,10.66842105263163,9277.557907373086,13702.923976608186,309.01052631578943,0.3295258072105819,1407.8947368421054,21.183801892102885,52.955555555555556,7.463585910167308,1.5555555555555558,0.0736842105263122
20,L47205,L,298.9,309.6,1370.0,66.0,215.0,1,0,0,0,1,0,10.700000000000045,9468.760257919635,14190.0,309.08421052631576,0.3295258072105982,1403.157894736842,21.18380189210282,54.48148148148148,7.644742826710218,1.5555555555555558,0.0736842105263122
