udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_watts,strain_index,rolling_mean_process_temp_15,rolling_std_process_temp_15,rolling_mean_speed_15,rolling_std_speed_15,rolling_mean_torque_15,rolling_std_torque_15,torque_slope_5,temp_slope_5
1,L47190,L,298.0,308.1,1500.0,38.0,30.0,0,0,0,0,0,0,10.100000000000023,5969.026041820607,1140.0,308.1,0.0,1500.0,0.0,38.0,0.0,0.0,0.0
2,L47190,L,298.0421052631579,308.15789473684214,1504.7368421052631,38.666666666666664,30.94736842105263,0,0,0,0,0,0,10.11578947368423,6092.926046825341,1196.6315789473683,308.1289473684211,0.04093776101605037,1502.3684210526317,3.349453174041435,38.33333333333333,0.4714045207910325,0.0,0.0
3,L47190,L,298.0842105263158,308.21578947368425,1509.4736842105262,39.333333333333336,31.894736842105264,0,0,0,0,0,0,10.131578947368439,6217.4874397571475,1254.5263157894738,308.15789473684214,0.057894736842101224,1504.7368421052631,4.736842105263065,38.666666666666664,0.6666666666666705,0.0,0.0
4,L47190,L,298.12631578947367,308.2736842105263,1514.2105263157894,40.0,32.8421052631579,0,0,0,0,0,0,10.147368421052647,6342.710220616023,1313.6842105263158,308.18684210526317,0.07474178387416566,1507.1052631578946,6.115236862432718,39.0,0.8606629658238728,0.0,0.0
5,L47190,L,298.1684210526316,308.3315789473684,1518.9473684210527,40.666666666666664,33.78947368421053,0,0,0,0,0,0,10.163157894736855,6468.594389401974,1374.1052631578948,308.21578947368425,0.09153961647855421,1509.4736842105262,7.489604984609361,39.33333333333333,1.05409255338946,0.0,0.0
6,L47190,L,298.2105263157895,308.38947368421054,1523.6842105263158,41.333333333333336,34.73684210526316,0,0,0,0,0,0,10.178947368421063,6595.139946114994,1435.7894736842106,308.2447368421053,0.10831113488030822,1511.8421052631577,8.861820126569908,39.666666666666664,1.2472191289246468,0.6666666666666672,0.05789473684210407
7,L47190,L,298.2526315789474,308.44736842105266,1528.421052631579,42.0,35.68421052631579,0,0,0,0,0,0,10.194736842105272,6722.346890755086,1498.7368421052631,308.27368421052637,0.12506692575876688,1514.2105263157896,10.232748471170325,40.0,1.4401645996461894,0.6666666666666672,0.05789473684210407
8,L47190,L,298.2947368421053,308.5052631578948,1533.157894736842,42.666666666666664,36.63157894736842,0,0,0,0,0,0,10.21052631578948,6850.215223322249,1562.9473684210525,308.3026315789474,0.14181256405588732,1516.578947368421,11.602846150025552,40.333333333333336,1.6329931618554483,0.6666666666666657,0.05789473684210407
9,L47190,L,298.33684210526314,308.56315789473683,1537.8947368421052,43.333333333333336,37.578947368421055,0,0,0,0,0,0,10.226315789473688,6978.744943816484,1628.4210526315792,308.3315789473684,0.158551266646242,1518.9473684210525,12.972376361964399,40.666666666666664,1.8257418583505494,0.6666666666666672,0.05789473684210407
10,L47190,L,298.37894736842105,308.62105263157895,1542.6315789473683,44.0,38.526315789473685,0,0,0,0,0,0,10.242105263157896,7107.93605223779,1695.157894736842,308.3605263157895,0.17528502050039,1521.3157894736842,14.341501677303839,41.0,2.0184335693983217,0.6666666666666672,0.05789473684210407
11,L47190,L,298.42105263157896,308.67894736842106,1547.3684210526317,48.0,39.473684210526315,0,0,0,0,0,0,10.257894736842104,7777.922022361257,1894.7368421052631,308.38947368421054,0.192015119441642,1523.6842105263158,15.71032795431501,41.63636363636363,2.8497740473960533,1.3333333333333328,0.05789473684210407
12,L47190,L,298.46315789473687,308.7368421052632,1552.1052631578948,50.22222222222222,40.421052631578945,0,0,0,0,0,0,10.273684210526312,8162.923283464343,2030.0350877192982,308.4184210526316,0.20874244226372662,1526.0526315789473,17.078927094303065,42.351851851851855,3.6777711658316803,1.6444444444444444,0.05789473684210407
13,L47190,L,298.5052631578947,308.79473684210524,1556.842105263158,52.44444444444444,41.368421052631575,0,0,0,0,0,0,10.28947368421052,8550.129170990998,2169.5438596491226,308.4473684210526,0.2254676068439326,1528.421052631579,18.447349650865085,43.128205128205124,4.498249809132703,1.9555555555555557,0.057894736842092696
14,L47190,L,298.5473684210526,308.85263157894735,1561.578947368421,54.666666666666664,42.31578947368421,0,0,0,0,0,0,10.305263157894728,8939.539684941228,2313.2631578947367,308.4763157894737,0.24219106031252766,1530.7894736842104,19.815632207385914,43.952380952380956,5.3091893468612295,2.2666666666666657,0.05789473684210407
15,L47190,L,298.58947368421053,308.91052631578947,1566.3157894736842,56.888888888888886,43.26315789473684,0,0,0,0,0,0,10.321052631578937,9331.15482531503,2461.1929824561403,308.5052631578947,0.25891313423685575,1533.157894736842,21.18380189210316,44.81481481481481,6.109908491575477,2.577777777777777,0.05789473684210407
16,L47190,L,298.63157894736844,308.9684210526316,1571.0526315789473,59.111111111111114,44.21052631578947,1,0,0,1,0,0,10.336842105263145,9724.974592112403,2613.3333333333335,308.56315789473683,0.25891313423687873,1537.8947368421054,21.183801892103094,46.22222222222222,6.818379559956533,2.2222222222222228,0.05789473684210407
17,L47190,L,298.67368421052635,309.0263157894737,1575.7894736842104,61.333333333333336,45.1578947368421,1,0,0,1,0,0,10.352631578947353,10120.998985333348,2769.684210526316,308.62105263157895,0.25891313423690165,1542.6315789473686,21.18380189210303,47.733333333333334,7.501769338621151,2.2222222222222228,0.05789473684210407
18,L47190,L,298.7157894736842,309.08421052631576,1580.5263157894738,63.55555555555556,46.10526315789474,1,0,0,1,0,0,10.368421052631561,10519.228004977867,2930.245614035088,308.67894736842106,0.2589131342369214,1547.3684210526314,21.183801892102977,49.34814814814815,8.143971993774956,2.2222222222222228,0.05789473684210407
19,L47190,L,298.7578947368421,309.1421052631579,1585.2631578947369,65.77777777777777,47.05263157894737,1,0,0,1,0,0,10.38421052631577,10919.661651045955,3095.017543859649,308.7368421052632,0.25891313423694434,1552.1052631578946,21.183801892102885,51.06666666666667,8.729200524615166,2.2222222222222214,0.05789473684210407
20,L47190,L,298.8,309.2,1590.0,68.0,48.0,1,0,0,1,0,0,10.399999999999977,11322.299923537612,3264.0,308.7947368421053,0.25891313423696727,1556.842105263158,21.18380189210282,52.88888888888889,9.24104027676675,2.2222222222222228,0.05789473684210407
