udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_watts,strain_index,rolling_mean_process_temp_15,rolling_std_process_temp_15,rolling_mean_speed_15,rolling_std_speed_15,rolling_mean_torque_15,rolling_std_torque_15,torque_slope_5,temp_slope_5
1,M14910,M,298.0,308.0,1520.0,38.0,185.0,0,0,0,0,0,0,10.0,6048.613055711549,7030.0,308.0,0.0,1520.0,0.0,38.0,0.0,0.0,0.0
2,M14910,M,298.03684210526313,308.0736842105263,1517.6315789473683,38.526315789473685,187.89473684210526,0,0,0,0,0,0,10.03684210526319,6122.833544755637,7238.891966759003,308.0368421052632,0.052102604929520485,1518.8157894736842,1.674726587020838,38.26315789473684,0.37216146378239395,0.0,0.0
3,M14910,M,298.0736842105263,308.14736842105265,1515.2631578947369,39.05263157894737,190.78947368421052,0,0,0,0,0,0,10.073684210526324,6196.792959617988,7450.831024930748,308.0736842105263,0.07368421052630936,1517.6315789473683,2.3684210526315326,38.526315789473685,0.526315789473685,0.0,0.0
4,M14910,M,298.11052631578946,308.22105263157897,1512.8947368421052,39.578947368421055,193.68421052631578,0,0,0,0,0,0,10.110526315789514,6270.491300298599,7665.817174515236,308.11052631578946,0.09512590674896414,1516.4473684210525,3.0576184312163295,38.78947368421053,0.6794707624925302,0.0,0.0
5,M14910,M,298.14736842105265,308.29473684210524,1510.5263157894738,40.10526315789474,196.57894736842104,0,0,0,0,0,0,10.14736842105259,6343.928566797473,7883.850415512466,308.14736842105265,0.11650496642726388,1515.2631578947369,3.7448024923045415,39.05263157894737,0.8321783316232589,0.0,0.0
6,M14910,M,298.1842105263158,308.36842105263156,1508.157894736842,40.63157894736842,199.47368421052633,0,0,0,0,0,0,10.18421052631578,6417.104759114605,8104.930747922437,308.1842105263158,0.13785053530221392,1514.078947368421,4.430910063284793,39.31578947368421,0.9846466807299838,0.5263157894736835,0.0736842105263122
7,M14910,M,298.22105263157897,308.4421052631579,1505.7894736842106,41.1578947368421,202.3684210526316,0,0,0,0,0,0,10.221052631578914,6490.019877250001,8329.058171745151,308.22105263157897,0.15917608732933705,1512.8947368421052,5.116374235584961,39.578947368421055,1.1369720523522546,0.5263157894736835,0.0736842105263122
8,M14910,M,298.2578947368421,308.5157894736842,1503.421052631579,41.68421052631579,205.26315789473685,0,0,0,0,0,0,10.257894736842104,6562.673921203658,8556.23268698061,308.2578947368421,0.18048871788930584,1511.7105263157896,5.801423075012574,39.8421052631579,1.2892051277806178,0.5263157894736835,0.0736842105263122
9,M14910,M,298.29473684210524,308.58947368421053,1501.0526315789473,42.21052631578947,208.1578947368421,0,0,0,0,0,0,10.294736842105294,6635.066890975576,8786.454293628809,308.2947368421053,0.20179252118613253,1510.5263157894738,6.4861881809820074,40.10526315789473,1.441375151329382,0.5263157894736835,0.0736842105263122
10,M14910,M,298.3315789473684,308.66315789473686,1498.6842105263158,42.73684210526316,211.05263157894737,0,0,0,0,0,0,10.331578947368428,6707.198786565755,9019.72299168975,308.3315789473684,0.22309002609141818,1509.342105263158,7.170750838651695,40.368421052631575,1.5935001863670983,0.5263157894736835,0.07368421052632357
